month,event_index,event_timestamp,label,action,btc_target,hype_target,hold_bars,trained_rows,trained_labels
2025-07,2883,2025-07-01 00:45:00+00:00,btc_reversal|-2.000|0.000|64,btc_reversal,-2.0,0.0,64,25,13
2025-07,2957,2025-07-01 19:15:00+00:00,btc_reversal|2.000|0.000|32,btc_reversal,2.0,0.0,32,25,13
2025-07,3569,2025-07-08 04:15:00+00:00,btc_reversal|2.000|0.000|32,btc_reversal,2.0,0.0,32,25,13
2025-07,3726,2025-07-09 19:30:00+00:00,btc_momentum|2.000|0.000|96,btc_momentum,2.0,0.0,96,25,13
2025-07,3865,2025-07-11 06:15:00+00:00,btc_momentum|2.000|0.000|96,btc_momentum,2.0,0.0,96,25,13
2025-07,4157,2025-07-14 07:15:00+00:00,btc_momentum|2.000|0.000|96,btc_momentum,2.0,0.0,96,25,13
2025-07,4769,2025-07-20 16:15:00+00:00,btc_momentum|2.000|0.000|96,btc_momentum,2.0,0.0,96,25,13
2025-07,4870,2025-07-21 17:30:00+00:00,btc_reversal|2.000|0.000|32,btc_reversal,2.0,0.0,32,25,13
2025-07,4919,2025-07-22 05:45:00+00:00,btc_reversal|2.000|0.000|32,btc_reversal,2.0,0.0,32,25,13
2025-07,4990,2025-07-22 23:30:00+00:00,btc_momentum|2.000|0.000|96,btc_momentum,2.0,0.0,96,25,13
2025-07,5111,2025-07-24 05:45:00+00:00,btc_momentum|-2.000|0.000|96,btc_momentum,-2.0,0.0,96,25,13
2025-07,5210,2025-07-25 06:30:00+00:00,btc_reversal|2.000|0.000|32,btc_reversal,2.0,0.0,32,25,13
2025-07,5451,2025-07-27 18:45:00+00:00,btc_reversal|-2.000|0.000|64,btc_reversal,-2.0,0.0,64,25,13
2025-07,5526,2025-07-28 13:30:00+00:00,btc_reversal|-2.000|0.000|64,btc_reversal,-2.0,0.0,64,25,13
2025-07,5605,2025-07-29 09:15:00+00:00,btc_reversal|-2.000|0.000|64,btc_reversal,-2.0,0.0,64,25,13
2025-07,5836,2025-07-31 19:00:00+00:00,btc_reversal|2.000|0.000|32,btc_reversal,2.0,0.0,32,25,13
2025-08,5880,2025-08-01 06:00:00+00:00,btc_reversal|2.000|0.000|32,btc_reversal,2.0,0.0,32,38,15
2025-08,5914,2025-08-01 14:30:00+00:00,btc_momentum|2.000|0.000|96,btc_momentum,2.0,0.0,96,38,15
2025-08,6023,2025-08-02 17:45:00+00:00,btc_reversal|2.000|0.000|32,btc_reversal,2.0,0.0,32,38,15
2025-08,6088,2025-08-03 10:00:00+00:00,btc_momentum|2.000|0.000|96,btc_momentum,2.0,0.0,96,38,15
2025-08,6212,2025-08-04 17:00:00+00:00,btc_momentum|2.000|0.000|96,btc_momentum,2.0,0.0,96,38,15
2025-08,6349,2025-08-06 03:15:00+00:00,btc_momentum|-2.000|0.000|32,btc_momentum,-2.0,0.0,32,38,15
2025-08,6522,2025-08-07 22:30:00+00:00,btc_reversal|-2.000|0.000|32,btc_reversal,-2.0,0.0,32,38,15
2025-08,6653,2025-08-09 07:15:00+00:00,btc_momentum|2.000|0.000|96,btc_momentum,2.0,0.0,96,38,15
2025-08,6790,2025-08-10 17:30:00+00:00,btc_momentum|-2.000|0.000|32,btc_momentum,-2.0,0.0,32,38,15
2025-08,6868,2025-08-11 13:00:00+00:00,btc_momentum|-2.000|0.000|96,btc_momentum,-2.0,0.0,96,38,15
2025-08,7014,2025-08-13 01:30:00+00:00,btc_momentum|-2.000|0.000|96,btc_momentum,-2.0,0.0,96,38,15
2025-08,7121,2025-08-14 04:15:00+00:00,btc_momentum|-2.000|0.000|32,btc_momentum,-2.0,0.0,32,38,15
2025-08,7165,2025-08-14 15:15:00+00:00,btc_reversal|2.000|0.000|32,btc_reversal,2.0,0.0,32,38,15
2025-08,7205,2025-08-15 01:15:00+00:00,btc_momentum|2.000|0.000|96,btc_momentum,2.0,0.0,96,38,15
2025-08,7497,2025-08-18 02:15:00+00:00,btc_reversal|2.000|0.000|32,btc_reversal,2.0,0.0,32,38,15
2025-08,7635,2025-08-19 12:45:00+00:00,btc_momentum|2.000|0.000|96,btc_momentum,2.0,0.0,96,38,15
2025-08,7751,2025-08-20 17:45:00+00:00,btc_momentum|2.000|0.000|96,btc_momentum,2.0,0.0,96,38,15
