candidate_id,family,rule,leverage,month,log_return,cost_log,turnover,orders,exposure_pct,max_drawdown_pct,return_pct,source_id,source_name,global_candidate_id,lookback,threshold_bps,symbol,trigger_window,trend_window,trigger_threshold_bps,trend_threshold_bps,hold_bars,volume_z,oracle_id,no_order_floor_candidate
single_symbol_symbol_momentum_lev4p0_symbolDOGEUSDT_lookback1536_threshold_bps50,single_symbol,symbol_momentum,4.0,2025-02,0.9220320105258668,0.136,136.0,29,1.0788690476190477,-99.99830649309344,151.43944784456326,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_momentum_lev4p0_symbolDOGEUSDT_lookback1536_threshold_bps50,1536.0,50.0,DOGEUSDT,,,,,,,combined_order10_oracle,False
single_symbol_symbol_momentum_lev4p0_symbolADAUSDT_lookback96_threshold_bps20,single_symbol,symbol_momentum,4.0,2025-03,2.1734213294192077,0.884,884.0,182,6.115591397849462,-100.0,778.8300334125375,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_momentum_lev4p0_symbolADAUSDT_lookback96_threshold_bps20,96.0,20.0,ADAUSDT,,,,,,,combined_order10_oracle,False
single_symbol_symbol_reversal_lev4p0_symbolAVAXUSDT_lookback96_threshold_bps100,single_symbol,symbol_reversal,4.0,2025-04,0.7740715632534647,1.22,1220.0,303,10.520833333333334,-100.0,116.85778049209236,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_reversal_lev4p0_symbolAVAXUSDT_lookback96_threshold_bps100,96.0,100.0,AVAXUSDT,,,,,,,combined_order10_oracle,False
single_symbol_symbol_momentum_lev4p0_symbolDOGEUSDT_lookback384_threshold_bps20,single_symbol,symbol_momentum,4.0,2025-05,0.8676661545501754,0.376,376.0,71,2.385752688172043,-99.99999999498534,138.13466679897877,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_momentum_lev4p0_symbolDOGEUSDT_lookback384_threshold_bps20,384.0,20.0,DOGEUSDT,,,,,,,combined_order10_oracle,False
single_symbol_symbol_reversal_lev4p0_symbolETHUSDT_lookback384_threshold_bps50,single_symbol,symbol_reversal,4.0,2025-06,0.6894158125563236,0.728,728.0,177,6.145833333333333,-100.0,99.25511697986651,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_reversal_lev4p0_symbolETHUSDT_lookback384_threshold_bps50,384.0,50.0,ETHUSDT,,,,,,,combined_order10_oracle,False
single_symbol_symbol_momentum_lev4p0_symbolXRPUSDT_lookback384_threshold_bps100,single_symbol,symbol_momentum,4.0,2025-07,1.2628902283595151,0.456,456.0,113,3.797043010752689,-99.99999999991071,253.56254993866733,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_momentum_lev4p0_symbolXRPUSDT_lookback384_threshold_bps100,384.0,100.0,XRPUSDT,,,,,,,combined_order10_oracle,False
single_symbol_symbol_momentum_lev4p0_symbolLINKUSDT_lookback96_threshold_bps20,single_symbol,symbol_momentum,4.0,2025-08,1.043572561817714,0.8,800.0,166,5.577956989247312,-100.0,183.9342643479445,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_momentum_lev4p0_symbolLINKUSDT_lookback96_threshold_bps20,96.0,20.0,LINKUSDT,,,,,,,combined_order10_oracle,False
single_symbol_symbol_reversal_lev4p0_symbolAVAXUSDT_lookback1536_threshold_bps20,single_symbol,symbol_reversal,4.0,2025-09,0.5505572685218724,0.232,232.0,48,1.6666666666666667,-99.99336409969877,73.42191743939996,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_reversal_lev4p0_symbolAVAXUSDT_lookback1536_threshold_bps20,1536.0,20.0,AVAXUSDT,,,,,,,combined_order10_oracle,False
single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback384_threshold_bps20,single_symbol,symbol_momentum,4.0,2025-10,1.2448749011545974,0.448,448.0,95,3.192204301075269,-99.99892046826972,247.2500366377368,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback384_threshold_bps20,384.0,20.0,AVAXUSDT,,,,,,,combined_order10_oracle,False
single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback384_threshold_bps100,single_symbol,symbol_momentum,4.0,2025-11,0.8724541028241839,0.152,152.0,38,1.3194444444444444,-99.99983740205845,139.2775771803728,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback384_threshold_bps100,384.0,100.0,AVAXUSDT,,,,,,,combined_order10_oracle,False
single_symbol_symbol_reversal_lev4p0_symbolLINKUSDT_lookback96_threshold_bps50,single_symbol,symbol_reversal,4.0,2025-12,0.6691330868812476,1.252,1252.0,301,10.114247311827956,-100.0,95.2543900795518,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_reversal_lev4p0_symbolLINKUSDT_lookback96_threshold_bps50,96.0,50.0,LINKUSDT,,,,,,,combined_order10_oracle,False
single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback1536_threshold_bps20,single_symbol,symbol_momentum,4.0,2026-01,1.132711135750081,0.064,64.0,14,0.4704301075268817,-99.99956911156028,210.406063235613,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback1536_threshold_bps20,1536.0,20.0,AVAXUSDT,,,,,,,combined_order10_oracle,False
single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback96_threshold_bps20,single_symbol,symbol_momentum,4.0,2026-02,0.6424169028494394,0.752,752.0,155,5.766369047619048,-100.0,90.10700328812976,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback96_threshold_bps20,96.0,20.0,SOLUSDT,,,,,,,combined_order10_oracle,False
single_symbol_symbol_reversal_lev4p0_symbolETHUSDT_lookback1536_threshold_bps50,single_symbol,symbol_reversal,4.0,2026-03,0.954024653478188,0.2,200.0,49,1.646505376344086,-99.99524970300808,159.6137214262123,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_reversal_lev4p0_symbolETHUSDT_lookback1536_threshold_bps50,1536.0,50.0,ETHUSDT,,,,,,,combined_order10_oracle,False
single_symbol_symbol_reversal_lev4p0_symbolAVAXUSDT_lookback96_threshold_bps20,single_symbol,symbol_reversal,4.0,2026-04,0.8524375771745623,0.992,992.0,215,7.465277777777778,-100.0,134.53568781762982,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_reversal_lev4p0_symbolAVAXUSDT_lookback96_threshold_bps20,96.0,20.0,AVAXUSDT,,,,,,,combined_order10_oracle,False
single_symbol_symbol_momentum_lev4p0_symbolADAUSDT_lookback384_threshold_bps20,single_symbol,symbol_momentum,4.0,2026-05,0.2282673141540147,0.224,224.0,49,1.646505376344086,-99.9999999999998,25.642113970043635,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_momentum_lev4p0_symbolADAUSDT_lookback384_threshold_bps20,384.0,20.0,ADAUSDT,,,,,,,combined_order10_oracle,False
single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback384_threshold_bps50,single_symbol,symbol_momentum,4.0,2023-01,0.8050074956918115,0.512,512.0,117,3.931451612903226,-99.950004121399,123.6713264470453,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback384_threshold_bps50,384.0,50.0,SOLUSDT,,,,,,,strategy_33_order10_oracle,False
single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback384_threshold_bps20,single_symbol,symbol_momentum,4.0,2023-02,0.817044581254889,0.184,184.0,37,1.3764880952380951,-99.76822065075775,126.37994658308864,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback384_threshold_bps20,384.0,20.0,SOLUSDT,,,,,,,strategy_33_order10_oracle,False
single_symbol_symbol_reversal_lev4p0_symbolSOLUSDT_lookback1536_threshold_bps50,single_symbol,symbol_reversal,4.0,2023-03,0.96135170121673,0.168,168.0,36,1.2096774193548387,-99.99489140489472,161.52290937096728,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_reversal_lev4p0_symbolSOLUSDT_lookback1536_threshold_bps50,1536.0,50.0,SOLUSDT,,,,,,,strategy_33_order10_oracle,False
single_symbol_symbol_reversal_lev4p0_symbolSOLUSDT_lookback1536_threshold_bps100,single_symbol,symbol_reversal,4.0,2023-04,0.7470594547678898,0.056,56.0,14,0.4861111111111111,-99.99314311217702,111.07840259872836,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_reversal_lev4p0_symbolSOLUSDT_lookback1536_threshold_bps100,1536.0,100.0,SOLUSDT,,,,,,,strategy_33_order10_oracle,False
cross_section_long_strong_short_weak_lev4p0_lookback1536_threshold_bps0,cross_section,long_strong_short_weak,4.0,2023-05,0.249404776258286,0.068,68.0,34,0.571236559139785,-99.99876731457044,28.32613616891606,strategy_33,33号多币种15m免费期货候选池,strategy_33::cross_section_long_strong_short_weak_lev4p0_lookback1536_threshold_bps0,1536.0,0.0,,,,,,,,strategy_33_order10_oracle,False
single_symbol_symbol_reversal_lev4p0_symbolXRPUSDT_lookback384_threshold_bps50,single_symbol,symbol_reversal,4.0,2023-06,0.9188335263788924,0.656,656.0,159,5.520833333333333,-99.99999999999812,150.6365075371571,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_reversal_lev4p0_symbolXRPUSDT_lookback384_threshold_bps50,384.0,50.0,XRPUSDT,,,,,,,strategy_33_order10_oracle,False
single_symbol_symbol_momentum_lev4p0_symbolXRPUSDT_lookback384_threshold_bps50,single_symbol,symbol_momentum,4.0,2023-07,1.2555157590011503,0.328,328.0,77,2.587365591397849,-99.99997256331164,250.96480401943407,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_momentum_lev4p0_symbolXRPUSDT_lookback384_threshold_bps50,384.0,50.0,XRPUSDT,,,,,,,strategy_33_order10_oracle,False
single_symbol_symbol_reversal_lev4p0_symbolADAUSDT_lookback96_threshold_bps100,single_symbol,symbol_reversal,4.0,2023-08,0.5120357560974612,0.96,960.0,239,8.030913978494624,-100.0,66.86847747284112,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_reversal_lev4p0_symbolADAUSDT_lookback96_threshold_bps100,96.0,100.0,ADAUSDT,,,,,,,strategy_33_order10_oracle,False
single_symbol_symbol_momentum_lev4p0_symbolLINKUSDT_lookback384_threshold_bps20,single_symbol,symbol_momentum,4.0,2023-09,0.9674852079571028,0.16,160.0,35,1.215277777777778,-99.99983438730833,163.131891204675,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_momentum_lev4p0_symbolLINKUSDT_lookback384_threshold_bps20,384.0,20.0,LINKUSDT,,,,,,,strategy_33_order10_oracle,False
single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback1536_threshold_bps100,single_symbol,symbol_momentum,4.0,2023-10,1.434073304097693,0.176,176.0,44,1.478494623655914,-99.8909129002598,319.5755017664935,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback1536_threshold_bps100,1536.0,100.0,SOLUSDT,,,,,,,strategy_33_order10_oracle,False
single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback384_threshold_bps20,single_symbol,symbol_momentum,4.0,2023-11,1.0864139189249116,0.456,456.0,88,3.055555555555556,-99.9505026910444,196.36271863078653,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback384_threshold_bps20,384.0,20.0,AVAXUSDT,,,,,,,strategy_33_order10_oracle,False
single_symbol_symbol_reversal_lev4p0_symbolLINKUSDT_lookback384_threshold_bps20,single_symbol,symbol_reversal,4.0,2023-12,1.156155067405026,0.8240000000000001,824.0,162,5.443548387096774,-99.99999999999996,217.7691746695851,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_reversal_lev4p0_symbolLINKUSDT_lookback384_threshold_bps20,384.0,20.0,LINKUSDT,,,,,,,strategy_33_order10_oracle,False
single_symbol_symbol_reversal_lev4p0_symbolSOLUSDT_lookback384_threshold_bps20,single_symbol,symbol_reversal,4.0,2024-01,1.1541726782087247,0.392,392.0,78,2.620967741935484,-99.99999999999996,217.13985647369356,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_reversal_lev4p0_symbolSOLUSDT_lookback384_threshold_bps20,384.0,20.0,SOLUSDT,,,,,,,strategy_33_order10_oracle,False
single_symbol_symbol_momentum_lev4p0_symbolETHUSDT_lookback384_threshold_bps50,single_symbol,symbol_momentum,4.0,2024-02,1.1533928282120376,0.224,224.0,56,2.0114942528735638,-99.99998589068484,216.89263136945104,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_momentum_lev4p0_symbolETHUSDT_lookback384_threshold_bps50,384.0,50.0,ETHUSDT,,,,,,,strategy_33_order10_oracle,False
single_symbol_symbol_reversal_lev4p0_symbolAVAXUSDT_lookback96_threshold_bps20,single_symbol,symbol_reversal,4.0,2024-03,1.2076528925878864,1.064,1064.0,202,6.78763440860215,-100.0,234.56228936700305,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_reversal_lev4p0_symbolAVAXUSDT_lookback96_threshold_bps20,96.0,20.0,AVAXUSDT,,,,,,,strategy_33_order10_oracle,False
single_symbol_symbol_momentum_lev4p0_symbolDOGEUSDT_lookback384_threshold_bps20,single_symbol,symbol_momentum,4.0,2024-04,1.1579318778436336,0.384,384.0,67,2.326388888888889,-99.99999998050092,218.3342921608589,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_momentum_lev4p0_symbolDOGEUSDT_lookback384_threshold_bps20,384.0,20.0,DOGEUSDT,,,,,,,strategy_33_order10_oracle,False
single_symbol_symbol_momentum_lev4p0_symbolETHUSDT_lookback384_threshold_bps50,single_symbol,symbol_momentum,4.0,2024-05,0.6319717674803681,0.24,240.0,59,1.98252688172043,-99.99997493601472,88.13164430955676,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_momentum_lev4p0_symbolETHUSDT_lookback384_threshold_bps50,384.0,50.0,ETHUSDT,,,,,,,strategy_33_order10_oracle,False
single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback384_threshold_bps20,single_symbol,symbol_momentum,4.0,2024-06,0.6081136049068695,0.296,296.0,64,2.2222222222222223,-99.89183304165772,83.69628905387508,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback384_threshold_bps20,384.0,20.0,AVAXUSDT,,,,,,,strategy_33_order10_oracle,False
single_symbol_symbol_reversal_lev4p0_symbolLINKUSDT_lookback384_threshold_bps100,single_symbol,symbol_reversal,4.0,2024-07,0.7836754300851101,0.624,624.0,156,5.241935483870968,-100.0,118.95048668824852,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_reversal_lev4p0_symbolLINKUSDT_lookback384_threshold_bps100,384.0,100.0,LINKUSDT,,,,,,,strategy_33_order10_oracle,False
single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback384_threshold_bps20,single_symbol,symbol_momentum,4.0,2024-08,0.4711243300693678,0.288,288.0,57,1.9153225806451613,-99.9383343828646,60.17941264695368,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback384_threshold_bps20,384.0,20.0,AVAXUSDT,,,,,,,strategy_33_order10_oracle,False
single_symbol_symbol_momentum_lev4p0_symbolADAUSDT_lookback384_threshold_bps20,single_symbol,symbol_momentum,4.0,2024-09,0.5266994857458386,0.12,120.0,28,0.9722222222222222,-99.9999999999658,69.33342017147805,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_momentum_lev4p0_symbolADAUSDT_lookback384_threshold_bps20,384.0,20.0,ADAUSDT,,,,,,,strategy_33_order10_oracle,False
single_symbol_symbol_reversal_lev4p0_symbolLINKUSDT_lookback384_threshold_bps100,single_symbol,symbol_reversal,4.0,2024-10,0.4718214380461493,0.624,624.0,156,5.241935483870968,-100.0,60.29111392262767,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_reversal_lev4p0_symbolLINKUSDT_lookback384_threshold_bps100,384.0,100.0,LINKUSDT,,,,,,,strategy_33_order10_oracle,False
